Audit Id: 77 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 1 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_run | Date & Time: 18 Aug, 01:58 PM 
Audit Id: 78 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 1 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 01:59 PM 
Audit Id: 79 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 1 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 02:00 PM 
Audit Id: 80 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 1 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 02:01 PM 
Audit Id: 81 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 1 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 02:02 PM 
Audit Id: 82 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 1 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 18 Aug, 02:02 PM 
Audit Id: 83 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 02:03 PM 
Audit Id: 84 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_run | Date & Time: 18 Aug, 02:03 PM 
Audit Id: 85 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 02:04 PM 
Audit Id: 86 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_zero | Date & Time: 18 Aug, 02:04 PM 
Audit Id: 87 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_bye | Date & Time: 18 Aug, 02:05 PM 
Audit Id: 88 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_run | Date & Time: 18 Aug, 02:06 PM 
Audit Id: 89 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_legbye | Date & Time: 18 Aug, 02:06 PM 
Audit Id: 90 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_two | Date & Time: 18 Aug, 02:07 PM 
Audit Id: 91 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 02:08 PM 
Audit Id: 92 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 02:08 PM 
Audit Id: 93 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 2 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_over_start_next_over | Date & Time: 18 Aug, 02:08 PM 
Audit Id: 94 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 1 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 02:10 PM 
Audit Id: 95 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 2 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 02:10 PM 
Audit Id: 96 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_NB_run | Date & Time: 18 Aug, 02:11 PM 
Audit Id: 97 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 3 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 02:11 PM 
Audit Id: 98 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 4 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_one | Date & Time: 18 Aug, 02:12 PM 
Audit Id: 99 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 5 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 02:12 PM 
Audit Id: 100 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: btn_run_six | Date & Time: 18 Aug, 02:13 PM 
Audit Id: 101 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: popup_end_match_btn_end_match | Date & Time: 18 Aug, 02:13 PM 
Audit Id: 102 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: innings_end_api_call | Date & Time: 18 Aug, 02:13 PM 
Audit Id: 103 | Match Id: 12418785 | Team Id: 1579444 | Inning: 2 | Over: 3 | Ball: 6 | UDID: 97AF0814-A173-4B15-9019-930858BCE5D4 | Device Name: iOS | Event Name: mqtt_disconnect | Date & Time: 18 Aug, 02:13 PM 
